solution|99.21.222.72|12/08/2015 2:59:27 AM|Jerry|test from iPhone. 
solution|128.62.17.207|12/08/2015 6:24:08 AM|alex|test1
solution|128.62.17.207|12/08/2015 6:27:12 AM|alex|test2
problem|128.62.27.234|12/08/2015 6:30:32 AM|Alexphone|Test3
problem|128.62.17.207|12/08/2015 7:11:20 AM|alex|test4
solution|99.21.222.72|12/08/2015 7:21:32 AM|Jerry|Test in qualtrics.
problem|99.21.222.72|12/08/2015 7:29:02 AM|Jerry|Problem version test.
problem|128.62.17.207|12/08/2015 7:50:15 AM|alex|alex test 5
solution|128.62.17.207|12/08/2015 7:51:49 AM|alex|test6
solution|50.189.158.135|12/08/2015 10:40:36 AM|Lori |This article is so familiar to me. I myself have taken out payday loans and am still struggling to get on track.
problem|97.96.118.22|12/08/2015 10:58:19 AM|smity|i can\&#39;t imagine living like this.
solution|98.114.235.156|12/09/2015 8:40:30 AM|Ana|There is a lot that needs to change with peoples attitudes and expectations. People today want everything now whether they can afford it or not. They need to use common sense and work hard to get ahead.  They need to stop thinking they are entitled.
problem|73.202.126.109|12/09/2015 9:22:26 AM|Janelle |I\&#39;ve been there done it. So many people think this way.  I\&#39;ve truly been thankful for the landlords we had. They didn\&#39;t raise rent for us.  I can now say we own our home. My kids our my world and I want to get them the main thing they ask for Christmas.  Now they only get the one thing and little miscellaneous things that don\&#39;t break the bank for us, and that I always use cash or money we have. And right now our 1 out of 2 vehicles is broken down also. Husband is working overtime so we can get another vehicle.  
problem|66.87.149.74|12/09/2015 11:10:37 AM|maria|with the strugles come pride and respect also it make you strive for better 
solution|173.56.212.23|12/09/2015 12:39:19 PM|kthety|poor people have a hard time to save with not enough money , when you consider your middle class then you lost your job, even if you get a loan you still have to pay it back
problem|70.192.145.137|12/09/2015 12:53:18 PM|Joe|It\&#39;s a tough world out there and that\&#39;s the problem our government has with helping people wiith these type of problems . Our government helps more people from or the country\&#39;s then helping the the people in there own back yard and these are the same people we elected on the promise that they would help these people out. Take the Obama health care . There are people out there that can\&#39;t afford that and then the almighty government wants to fine them for not having health care. It\&#39;s time for the government to worry about every person in this country before we help another person not from this country.
problem|98.173.4.101|12/09/2015 1:11:33 PM|tye tygon|This is very interesting and gets to it point.
solution|72.253.128.150|12/10/2015 6:38:46 AM|Clyde|Cost of living is to high 
solution|67.82.223.83|12/10/2015 8:11:38 AM|Igor|I think these financial programs help people to make ends meet
problem|97.92.10.58|12/10/2015 8:16:39 AM|Samantha |All i can say is wow
solution|100.7.79.182|12/10/2015 9:10:55 AM|Barb|The problem with this country is as Americans who were born and raised in this country cannot get loans for some reason or another and they work hard for they money and still cannot make ends meet. Then we have these foreigners come into our country and are able to get loans to set themselves up in a business with a loan interest. WHY?  Plus they come into our country and get food stamps and other things to help them get started. There are Americans who have had their jobs cut way back and lost there health insurance. Now they are not even eligible for this new health care insurance. WHY!
problem|173.2.242.4|12/10/2015 10:22:27 AM|Kathy|I have lived the paycheck to paycheck life and it is very stressful.  I have some savings now, but it is still very hard to grow any large amount of money.  Something always comes up to wipe out the savings.  The middle class is slowly being edged out.
solution|142.197.185.114|12/10/2015 10:33:20 AM|tony|Life is to hard
solution|141.214.17.252|12/14/2015 9:03:41 AM|Debbie|I think payday loans are hard to get out of.  I hear so many people in a pinch get them and they have to re-loan and pay off in small increments.  It may take them 6 months to get out of it and by then they have lost so much money, not to mention the time and paperwork each time they go re-loan.  It is a rough situation to get caught up in.
problem|70.193.171.55|12/14/2015 10:27:45 AM|rick|Never buy what you can\&#39;t pay for 
solution|173.77.242.152|12/14/2015 11:33:29 AM|veronica|none
solution|73.6.175.200|12/15/2015 2:18:48 AM|Ced|Predatory loans such as title and payday take advantage of the low income 
solution|69.253.96.199|12/15/2015 3:04:17 AM|MJS|This program help people manage their finances but the economic situation in the country is not supporting living wages.
solution|73.217.120.67|12/16/2015 3:53:02 AM|Leo|it is very hard for the underprivileged to be able to buy the things they want especially if you are born to be poor in this society you either have it or you don\&#39;t, you have to be positive in order to accomplish your goals and then things will change
solution|50.129.2.74|12/16/2015 5:39:38 AM|Ruth Phelps|The only thing this doesn\&#39;t show is what happens when a person is just making enough to live pay check to pay check and with every day bills doesn\&#39;t find anything extra to put back
solution|66.168.172.69|12/16/2015 5:42:48 AM|Jackie|no comment
problem|98.155.116.88|12/16/2015 5:48:13 AM|Iris Nakahara|It really is sad that a great amount of Americans are considered in poverty level with no means of saving for essentials and emergencies.  I have seen some people work very hard at 2 or 3 jobs to eke out a living and still not being able to save and unscrupulous finance companies only make it more difficult for them.  Believe that education is the most important thing and everyone needs to know the essentials of finance so we don\&#39;t end up with a great majority of homeless or near poverty level residents.  You can also give a helping hand to the less fortunate, however the people need to help themselves first by learning the basics of needs and wants.
problem|71.190.208.60|12/16/2015 7:46:38 AM|eleanor|na
solution|99.21.222.72|03/01/2016 3:57:28 AM|sdafadf|dgadgasdfasdfas
